Jar Path,Oracle-Version,Oracle-Label,Oracle-Builder,Oracle-BuildTimestamp,Specification-Version,Implementation-Version
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/_wl_cls_gen.jar,,,,,,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/bundleresolver.jar,12.1.3.0.41.140521.1008,JDEVADF_12.1.3.0.0_GENERIC_140521.1008.S,user=aime host=slc03tux,2014-05-21 11:02:37 -0700,,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/adfm.jar,12.1.3.0.41.140521.1008,JDEVADF_12.1.3.0.0_GENERIC_140521.1008.S,user=aime host=slc03tux,2014-05-21 11:56:40 -0700,,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/adf-richclient-api-11.jar,12.1.3.0.41.140521.1008,JDEVADF_12.1.3.0.0_GENERIC_140521.1008.S,user=aime host=slc03tux,2014-05-21 11:50:52 -0700,ASPEN,ASPEN (custom: 12.1.3.0.41.140521.1008),
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/wls-api.jar,,,,,12.1.3,12.1.3.0.0,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/wljmsclient.jar,,,,,12.1.3,12.1.3.0.0,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/wlclient.jar,,,,,12.1.3,12.1.3.0.0,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/wlnmclient.jar,,,,,12.1.3,12.1.3.0.0,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/wljmxclient.jar,,,,,12.1.3,12.1.3.0.0,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/com.bea.core.apache.commons.collections_1.0.0.0_3-2.jar,,,,,3.2,1.0.0.0_3-2,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/adf-faces-databinding-rt.jar,12.1.3.0.41.140521.1008,JDEVADF_12.1.3.0.0_GENERIC_140521.1008.S,user=aime host=slc03tux,2014-05-21 12:55:22 -0700,,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/org.apache.commons.digester_1.8.jar,,,,,,1.8,
/iriwl/app01/adf_ows/Oracle/user_projects/domains/iri-int-ows-domain/servers/iri-adf-ows-server1/tmp/_WL_user/GenericTC/nzby0z/war/WEB-INF/lib/fndext.jar,,,,,,
